"numprec","region","metro","relate","age","sex","race","marst","bpl","sch","educ99","empstat","classwkr","wkswork1","uhrswork","incwage","ftype","annhrs","hrwage","adj_ind","adj_occ2name"
5,"East North Central Div.","In metro area, outside central / principal city","Head/Householder",49,"Male","White nonhisp","Married, spouse present","United Kingdom","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,50,150000,"Primary family",2600,57.6923065185547,"Insurance carriers and related activities","Managers"
2,"South Atlantic Division","In metro area, central / principal city","Spouse",33,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Doctoral degree","At work","Wage/salary, private sector",50,15,28000,"Primary family",750,37.3333320617676,"Not avaliable","Business Operators"
3,"West North Central Div.","Central / Principal city status unknown","Head/Householder",58,"Male","White nonhisp","Divorced","United States","Bachelor's degree","Bachelor's degree","At work","Local govt employee",52,38,71909,"Nonfamily householder",1976,36.3911933898926,"Insurance carriers and related activities","Managers"
1,"South Atlantic Division","Central / Principal city status unknown","Head/Householder",46,"Male","White nonhisp","Divorced","United States","Some collage","Some collage","At work","Local govt employee",52,40,80002,"Nonfamily householder",2080,38.4625015258789,"Not avaliable","Managers"
14,"Pacific Division","In metro area, central / principal city","Other Relatives",41,"Male","Hispanic","Married, spouse present","Mexico","Grade 5","5th-8th grades","At work","Wage/salary, private sector",52,40,25000,"Related subfamily",2080,12.0192308425903,"Construction","Consruction, Extraction, Installation"
5,"South Atlantic Division","In metro area, central / principal city","Unmarried Partner",32,"Male","Black nonhisp","Never married/single","United States","Bachelor's degree","Bachelor's degree","At work","Federal govt employee",52,40,60002,"Secondary individual",2080,28.8471145629883,"Not avaliable","Protective Service adj_occupations"
4,"East North Central Div.","In metro area, outside central / principal city","Head/Householder",27,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,45,42000,"Primary family",2340,17.9487171173096,"Outpatient care centers","Managers"
5,"Mountain Division","In metro area, outside central / principal city","Head/Householder",55,"Male","White nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,40,40000,"Primary family",2080,19.230770111084,"Automotive repair and maintenance","Consruction, Extraction, Installation"
1,"West North Central Div.","In metro area, outside central / principal city","Head/Householder",53,"Male","White nonhisp","Never married/single","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,130682,"Nonfamily householder",2080,62.8278846740723,"Computer systems design and related services","Computer and Math Technicians"
7,"Mountain Division","Central / Principal city status unknown","Head/Householder",40,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,55,90000,"Primary family",2860,31.4685306549072,"Nonmetallic mineral mining and quarrying (Includes 0480 starting May 2012)","Managers"
1,"West South Central Div.","In metro area, outside central / principal city","Head/Householder",47,"Male","White nonhisp","Divorced","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,40,50000,"Nonfamily householder",2080,24.0384616851807,"Glass and glass product manufacturing","Production"
3,"West South Central Div.","In metro area, central / principal city","Head/Householder",54,"Male","Hispanic","Married, spouse present","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,40,92000,"Primary family",2080,44.230770111084,"Other health care services","Production"
3,"West South Central Div.","In metro area, outside central / principal city","Spouse",55,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,60,95000,"Primary family",3120,30.4487171173096,"Automobile dealers","Transportation and materials moving"
4,"South Atlantic Division","Central / Principal city status unknown","Spouse",46,"Male","Hispanic","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,55000,"Primary family",2080,26.4423084259033,"Construction","Consruction, Extraction, Installation"
4,"Pacific Division","In metro area, central / principal city","Spouse",52,"Male","Other nonhisp","Married, spouse present","Taiwan","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,2e+05,"Primary family",2080,96.1538467407227,"Other health care services","Managers"
2,"Mountain Division","Not in metro area","Head/Householder",60,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,44,67000,"Primary family",2288,29.2832164764404,"Coal mining","Consruction, Extraction, Installation"
3,"Middle Atlantic Division","In metro area, outside central / principal city","Head/Householder",61,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,65,38000,"Primary family",3380,11.242603302002,"Automotive repair and maintenance","Transportation and materials moving"
3,"East South Central Div.","In metro area, outside central / principal city","Spouse",50,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,160000,"Primary family",2080,76.9230804443359,"Pharmaceutical and medicine manufacturing","Production"
2,"West North Central Div.","In metro area, outside central / principal city","Child",31,"Male","White nonhisp","Never married/single","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,40,50000,"Primary family",2080,24.0384616851807,"Other amusement, gambling, and recreation industries","Office and Admin Support"
3,"New England Division","In metro area, outside central / principal city","Head/Householder",44,"Male","White nonhisp","Never married/single","United States","Grade 10","10th grade","At work","Wage/salary, private sector",52,40,20000,"Primary family",2080,9.61538505554199,"Truck transportation","Transportation and materials moving"
4,"West South Central Div.","In metro area, central / principal city","Spouse",33,"Male","Other nonhisp","Married, spouse present","India","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,40,70000,"Primary family",2080,33.6538467407227,"Support activities for mining","Computer and Math Technicians"
4,"Pacific Division","In metro area, outside central / principal city","Head/Householder",49,"Male","Hispanic","Never married/single","Mexico","Grade 7","5th-8th grades","At work","Wage/salary, private sector",26,40,7000,"Nonfamily householder",1040,6.73076915740967,"Not avaliable","Transportation and materials moving"
3,"New England Division","Not in metro area","Head/Householder",61,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,24,11100,"Primary family",1248,8.89423084259033,"Grocery stores","Office and Admin Support"
4,"Mountain Division","Not in metro area","Head/Householder",52,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",50,40,75000,"Primary family",2000,37.5,"Wired telecommunications carriers","Consruction, Extraction, Installation"
5,"East North Central Div.","In metro area, outside central / principal city","Spouse",56,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,90000,"Primary family",2080,43.269229888916,"Motor vehicles and motor vehicle equipment manufacturing","Production"
2,"East North Central Div.","In metro area, central / principal city","Housemate/Roomate",28,"Male","White nonhisp","Never married/single","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,67600,"Secondary individual",2080,32.5,"Outpatient care centers","Office and Admin Support"
1,"West North Central Div.","In metro area, outside central / principal city","Head/Householder",43,"Male","White nonhisp","Divorced","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,45,45000,"Nonfamily householder",2340,19.230770111084,"Services incidental to transportation","Consruction, Extraction, Installation"
5,"Mountain Division","Not in metro area","Unmarried Partner",33,"Male","Other nonhisp","Never married/single","United States","Some collage","Some collage","At work","Federal govt employee",52,40,24000,"Secondary individual",2080,11.5384616851807,"Other amusement, gambling, and recreation industries","Protective Service adj_occupations"
3,"Mountain Division","In metro area, central / principal city","Spouse",49,"Male","Hispanic","Married, spouse present","Mexico","Grade 12","High school","At work","Wage/salary, private sector",52,40,12000,"Primary family",2080,5.76923084259033,"Restaurants and other food services","Transportation and materials moving"
4,"West South Central Div.","In metro area, central / principal city","Head/Householder",49,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,45,47000,"Primary family",2340,20.085470199585,"Architectural, engineering, and related services","Managers"
1,"West North Central Div.","Not in metro area","Head/Householder",51,"Male","White nonhisp","Divorced","United States","Some collage","Some collage","At work","State govt employee",52,40,65231,"Nonfamily householder",2080,31.3610572814941,"Not avaliable","Protective Service adj_occupations"
12,"East North Central Div.","In metro area, central / principal city","Spouse",39,"Male","Hispanic","Married, spouse present","Mexico","Grade 12","High school","At work","Wage/salary, private sector",52,40,30000,"Primary family",2080,14.4230766296387,"Construction","Consruction, Extraction, Installation"
4,"East South Central Div.","Not in metro area","Head/Householder",29,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",40,40,28000,"Primary family",1600,17.5,"Not avaliable","Managers"
3,"South Atlantic Division","Central / Principal city status unknown","Head/Householder",52,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,50,30000,"Primary family",2600,11.5384616851807,"Architectural, engineering, and related services","Managers"
5,"South Atlantic Division","In metro area, outside central / principal city","Head/Householder",46,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,110000,"Primary family",2080,52.8846168518066,"Pharmaceutical and medicine manufacturing","Production"
2,"New England Division","Not in metro area","Spouse",47,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,48000,"Primary family",2080,23.0769233703613,"Veneer, plywood, and engineered wood products","Consruction, Extraction, Installation"
4,"Pacific Division","In metro area, outside central / principal city","Spouse",30,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Local govt employee",52,4,123000,"Primary family",208,591.346130371094,"Not avaliable","Protective Service adj_occupations"
1,"Pacific Division","In metro area, central / principal city","Head/Householder",54,"Male","Black nonhisp","Never married/single","United States","Advanced degree","Professional degree","At work","Federal govt employee",52,40,179000,"Nonfamily householder",2080,86.0576934814453,"Not avaliable","Lawyers, Judges,Physicans and dentists"
4,"West North Central Div.","In metro area, outside central / principal city","Head/Householder",49,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,45,120000,"Primary family",2340,51.2820510864258,"Aerospace product and parts manufacturing","Transportation and materials moving"
2,"Middle Atlantic Division","Not in metro area","Head/Householder",55,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Local govt employee",52,40,43000,"Primary family",2080,20.6730766296387,"Elementary and secondary schools","Consruction, Extraction, Installation"
5,"Middle Atlantic Division","In metro area, outside central / principal city","Head/Householder",48,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Local govt employee",52,40,80000,"Primary family",2080,38.461540222168,"Elementary and secondary schools","Managers"
5,"West North Central Div.","In metro area, outside central / principal city","Child",26,"Male","White nonhisp","Never married/single","United States","Grade 12","High school","At work","Wage/salary, private sector",52,38,22880,"Primary family",1976,11.5789470672607,"Bakeries, except retail","Production"
2,"Pacific Division","Central / Principal city status unknown","Head/Householder",29,"Male","White nonhisp","Never married/single","United States","Some collage","Some collage","At work","Wage/salary, private sector",49,40,40000,"Nonfamily householder",1960,20.4081630706787,"Truck transportation","Transportation and materials moving"
4,"South Atlantic Division","Not in metro area","Head/Householder",37,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,80,56000,"Primary family",4160,13.4615383148193,"Support activities for mining","Consruction, Extraction, Installation"
5,"South Atlantic Division","In metro area, outside central / principal city","Head/Householder",30,"Male","Black nonhisp","Never married/single","United States","Bachelor's degree","Bachelor's degree","At work","Federal govt employee",52,40,52000,"Primary family",2080,25,"Not avaliable","Business Operators"
3,"Middle Atlantic Division","In metro area, outside central / principal city","Head/Householder",49,"Male","Other nonhisp","Married, spouse present","Bangladesh","Grade 12","High school","At work","Wage/salary, private sector",52,29,13000,"Primary family",1508,8.62068939208984,"Gasoline stations","Production"
2,"Middle Atlantic Division","Not in metro area","Spouse",30,"Male","White nonhisp","Married, spouse present","United States","Grade 11","11th grade","At work","Wage/salary, private sector",47,40,17600,"Primary family",1880,9.36170196533203,"Traveler accommodation","Consruction, Extraction, Installation"
4,"Mountain Division","In metro area, outside central / principal city","Head/Householder",44,"Male","Other nonhisp","Married, spouse present","Iran","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,50,220000,"Primary family",2600,84.6153869628906,"Computer systems design and related services","Computer and Math Technicians"
1,"South Atlantic Division","In metro area, central / principal city","Head/Householder",58,"Male","White nonhisp","Never married/single","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,60,190000,"Nonfamily householder",3120,60.8974342346191,"Not avaliable","Managers"
3,"Pacific Division","In metro area, outside central / principal city","Head/Householder",29,"Male","White nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Wage/salary, private sector",48,40,60000,"Primary family",1920,31.25,"Construction","Consruction, Extraction, Installation"
4,"Mountain Division","In metro area, outside central / principal city","Child",41,"Male","Other nonhisp","Never married/single","Philippines","Grade 12","High school","At work","Wage/salary, private sector",52,40,19200,"Primary family",2080,9.23076915740967,"Recyclable material, merchant wholesalers","Consruction, Extraction, Installation"
5,"East North Central Div.","In metro area, outside central / principal city","Child",26,"Male","White nonhisp","Never married/single","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",26,40,40000,"Primary family",1040,38.461540222168,"Electrical lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.","Office and Admin Support"
4,"New England Division","Not in metro area","Head/Householder",43,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,35000,"Primary family",2080,16.8269233703613,"Machinery, equipment, and supplies, merchant wholesalers","Transportation and materials moving"
3,"New England Division","In metro area, outside central / principal city","Head/Householder",47,"Male","White nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,50,145000,"Primary family",2600,55.769229888916,"Management, scientific and technical consulting services","Managers"
2,"West North Central Div.","Not in metro area","Head/Householder",51,"Male","White nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,40,61000,"Primary family",2080,29.3269233703613,"Nonmetallic mineral mining and quarrying (Includes 0480 starting May 2012)","Consruction, Extraction, Installation"
2,"South Atlantic Division","In metro area, central / principal city","Head/Householder",52,"Male","Other nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",20,16,2127,"Primary family",320,6.64687490463257,"Employment services","Consruction, Extraction, Installation"
2,"New England Division","Central / Principal city status unknown","Head/Householder",57,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",35,72,95000,"Primary family",2520,37.698413848877,"Commercial and industrial machinery and equipment repair and maintenance","Transportation and materials moving"
3,"East North Central Div.","In metro area, central / principal city","Spouse",34,"Male","Other nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,70000,"Primary family",2080,33.6538467407227,"Insurance carriers and related activities","Managers"
4,"East North Central Div.","In metro area, outside central / principal city","Head/Householder",63,"Male","White nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,40,36000,"Primary family",2080,17.3076915740967,"Wired telecommunications carriers","Consruction, Extraction, Installation"
3,"Middle Atlantic Division","Central / Principal city status unknown","Spouse",29,"Male","White nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,40,32000,"Primary family",2080,15.384614944458,"Banking and related activities","Office and Admin Support"
4,"Pacific Division","In metro area, outside central / principal city","Head/Householder",60,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Local govt employee",52,50,75000,"Primary family",2600,28.8461532592773,"Elementary and secondary schools","Managers"
1,"East North Central Div.","In metro area, outside central / principal city","Head/Householder",43,"Male","White nonhisp","Never married/single","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,40000,"Nonfamily householder",2080,19.230770111084,"Commercial and industrial machinery and equipment repair and maintenance","Consruction, Extraction, Installation"
4,"Pacific Division","In metro area, outside central / principal city","Spouse",37,"Male","Hispanic","Married, spouse present","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,40,42000,"Primary family",2080,20.1923084259033,"Automotive equipment rental and leasing","Production"
5,"West South Central Div.","In metro area, outside central / principal city","Spouse",33,"Male","White nonhisp","Married, spouse present","United States","Grade 12","12th grade","At work","Wage/salary, private sector",52,40,40000,"Primary family",2080,19.230770111084,"Construction","Consruction, Extraction, Installation"
4,"Middle Atlantic Division","In metro area, outside central / principal city","Spouse",42,"Male","Black nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,45,95000,"Primary family",2340,40.5982894897461,"Independent artists, performing arts, spectator sports, and related industries","Managers"
3,"South Atlantic Division","In metro area, central / principal city","Head/Householder",28,"Male","Hispanic","Never married/single","Mexico","Grade 12","High school","At work","Wage/salary, private sector",52,40,22880,"Nonfamily householder",2080,11,"Restaurants and other food services","Office and Admin Support"
2,"East North Central Div.","Not in metro area","Head/Householder",58,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","State govt employee",52,38,80000,"Primary family",1976,40.4858283996582,"Individual and family services","financial Operators"
1,"Pacific Division","In metro area, central / principal city","Head/Householder",32,"Male","Other nonhisp","Never married/single","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,45000,"Nonfamily householder",2080,21.634614944458,"Accounting, tax preparation, bookkeeping and payroll services","financial Operators"
3,"South Atlantic Division","In metro area, outside central / principal city","Child",43,"Male","Black nonhisp","Never married/single","United States","Grade 12","High school","At work","Wage/salary, private sector",52,15,4247,"Primary family",780,5.44487190246582,"Restaurants and other food services","Transportation and materials moving"
5,"Middle Atlantic Division","In metro area, central / principal city","Head/Householder",51,"Male","Other nonhisp","Married, spouse present","China","Grade 12","High school","At work","Wage/salary, private sector",52,40,30000,"Primary family",2080,14.4230766296387,"Other health care services","Computer and Math Technicians"
3,"East North Central Div.","In metro area, central / principal city","Housemate/Roomate",57,"Male","White nonhisp","Never married/single","United States","Bachelor's degree","Bachelor's degree","At work","State govt employee",50,40,18000,"Secondary individual",2000,9,"Not avaliable","Office and Admin Support"
5,"Mountain Division","Not in metro area","Unmarried Partner",37,"Male","Hispanic","Never married/single","Mexico","Grade 9","9th grade","At work","Wage/salary, private sector",52,40,28000,"Secondary individual",2080,13.4615383148193,"Animal production","Farming, Fishing & Forestry"
6,"West North Central Div.","In metro area, central / principal city","Head/Householder",34,"Male","White nonhisp","Divorced","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,60,75000,"Primary family",3120,24.0384616851807,"Truck transportation","Office and Admin Support"
5,"West North Central Div.","Not in metro area","Spouse",39,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,45,36000,"Primary family",2340,15.384614944458,"Nursing care facilities","Consruction, Extraction, Installation"
5,"Pacific Division","In metro area, central / principal city","Spouse",40,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,55,65000,"Primary family",2860,22.7272720336914,"Aerospace product and parts manufacturing","Consruction, Extraction, Installation"
2,"West South Central Div.","In metro area, central / principal city","Head/Householder",29,"Male","Hispanic","Never married/single","United States","Grade 12","High school","At work","Wage/salary, private sector",28,20,8960,"Primary family",560,16,"Restaurants and other food services","Transportation and materials moving"
2,"South Atlantic Division","Not in metro area","Spouse",38,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,85000,"Primary family",2080,40.8653831481934,"Support activities for mining","Consruction, Extraction, Installation"
1,"West North Central Div.","Central / Principal city status unknown","Head/Householder",54,"Male","Other nonhisp","Never married/single","United States","Associate's degree","Associate's degree 1","At work","Wage/salary, private sector",46,16,7000,"Nonfamily householder",736,9.5108699798584,"Restaurants and other food services","Transportation and materials moving"
3,"South Atlantic Division","In metro area, central / principal city","Spouse",40,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Federal govt employee",52,40,98000,"Primary family",2080,47.1153831481934,"Not avaliable","Protective Service adj_occupations"
5,"Pacific Division","In metro area, central / principal city","Head/Householder",42,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Local govt employee",40,50,52000,"Primary family",2000,26,"Elementary and secondary schools","Managers"
4,"East North Central Div.","In metro area, outside central / principal city","Spouse",34,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,42000,"Primary family",2080,20.1923084259033,"Construction","Consruction, Extraction, Installation"
3,"West South Central Div.","Central / Principal city status unknown","Sibling",25,"Male","White nonhisp","Never married/single","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,30,41000,"Primary family",1560,26.2820510864258,"Oil and gas extraction","Consruction, Extraction, Installation"
4,"New England Division","Not in metro area","Head/Householder",31,"Male","White nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,40,68000,"Primary family",2080,32.6923065185547,"Construction","Consruction, Extraction, Installation"
2,"Pacific Division","In metro area, central / principal city","Head/Householder",64,"Male","Other nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,40,85000,"Primary family",2080,40.8653831481934,"Construction","Managers"
4,"New England Division","In metro area, outside central / principal city","Spouse",40,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,60,80000,"Primary family",3120,25.6410255432129,"Grocery stores","Protective Service adj_occupations"
2,"West North Central Div.","Not in metro area","Head/Householder",56,"Male","Hispanic","Married, spouse present","El Salvador","Grade 12","High school","At work","Wage/salary, private sector",52,40,15000,"Primary family",2080,7.21153831481934,"Colleges and universities, including junior colleges","Transportation and materials moving"
6,"New England Division","Not in metro area","Other Relatives",47,"Male","White nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,45,6e+05,"Related subfamily",2340,154.914535522461,"Dairy product manufacturing","Managers"
6,"Middle Atlantic Division","In metro area, outside central / principal city","Other Relatives",52,"Male","Black nonhisp","Divorced","United States","Associate's degree","Associate's degree 1","At work","Local govt employee",16,40,4500,"Primary family",640,7.03125,"Hospitals","Protective Service adj_occupations"
2,"Mountain Division","In metro area, central / principal city","Head/Householder",42,"Male","White nonhisp","Never married/single","United States","Some collage","Some collage","At work","Wage/salary, private sector",20,40,15000,"Primary family",800,18.75,"Motor vehicles and motor vehicle equipment manufacturing","Production"
2,"New England Division","In metro area, central / principal city","Spouse",49,"Male","Other nonhisp","Married, spouse present","India","Advanced degree","Doctoral degree","At work","Wage/salary, private sector",52,60,350000,"Primary family",3120,116.185897827148,"Colleges and universities, including junior colleges","Managers"
4,"West South Central Div.","In metro area, central / principal city","Spouse",47,"Male","Hispanic","Married, spouse present","Mexico","Grade 12","High school","At work","Wage/salary, private sector",52,40,28000,"Primary family",2080,13.4615383148193,"Petroleum refining","Production"
3,"East North Central Div.","In metro area, central / principal city","Spouse",63,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,50,62000,"Primary family",2600,23.8461532592773,"Not specified manufacturing industries","Production"
4,"West North Central Div.","In metro area, outside central / principal city","Head/Householder",49,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Federal govt employee",52,40,83600,"Primary family",2080,40.1923065185547,"Ordnance","Managers"
6,"Mountain Division","Not in metro area","Child",39,"Male","Hispanic","Never married/single","Mexico","Some collage","Some collage","At work","Wage/salary, private sector",52,48,30000,"Primary family",2496,12.0192308425903,"Construction","Office and Admin Support"
4,"Mountain Division","In metro area, outside central / principal city","Head/Householder",31,"Male","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Local govt employee",52,40,35000,"Primary family",2080,16.8269233703613,"Elementary and secondary schools","Managers"
4,"Pacific Division","In metro area, outside central / principal city","Sibling",33,"Male","Other nonhisp","Never married/single","Vietnam","Grade 12","High school","At work","Wage/salary, private sector",52,35,17000,"Primary family",1820,9.34065914154053,"Bakeries, except retail","Office and Admin Support"
4,"Mountain Division","In metro area, central / principal city","Head/Householder",33,"Male","White nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,65,145000,"Primary family",3380,42.8994064331055,"Computer systems design and related services","Consruction, Extraction, Installation"
4,"Mountain Division","In metro area, outside central / principal city","Head/Householder",58,"Male","Hispanic","Divorced","Mexico","Grade 12","High school","At work","Wage/salary, private sector",52,40,29000,"Primary family",2080,13.942307472229,"Crop production","Farming, Fishing & Forestry"
4,"West North Central Div.","In metro area, outside central / principal city","Head/Householder",39,"Male","Other nonhisp","Married, spouse present","United States","Some collage","Some collage","At work","Wage/salary, private sector",52,50,40000,"Primary family",2600,15.384614944458,"Construction","Consruction, Extraction, Installation"
2,"South Atlantic Division","In metro area, outside central / principal city","Head/Householder",57,"Male","White nonhisp","Divorced","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,90000,"Primary family",2080,43.269229888916,"Construction","Consruction, Extraction, Installation"
4,"West South Central Div.","In metro area, outside central / principal city","Spouse",61,"Male","Other nonhisp","Married, spouse present","Philippines","Some collage","Some collage","At work","Wage/salary, private sector",52,40,33500,"Primary family",2080,16.105770111084,"Construction","Consruction, Extraction, Installation"
4,"West North Central Div.","In metro area, outside central / principal city","Head/Householder",56,"Male","White nonhisp","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,2e+05,"Primary family",2080,96.1538467407227,"Wired telecommunications carriers","Computer and Math Technicians"
2,"Middle Atlantic Division","Not in metro area","Head/Householder",56,"Male","White nonhisp","Married, spouse present","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,50,80000,"Primary family",2600,30.769229888916,"Miscellaneous fabricated metal products manufacturing","Production"
3,"West South Central Div.","In metro area, central / principal city","Head/Householder",28,"Male","Hispanic","Married, spouse present","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,40,15002,"Primary family",2080,7.21250009536743,"Truck transportation","Transportation and materials moving"
1,"Pacific Division","In metro area, outside central / principal city","Head/Householder",64,"Male","White nonhisp","Divorced","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,52000,"Nonfamily householder",2080,25,"Other information services","Managers"
4,"West North Central Div.","Not in metro area","Head/Householder",32,"Female","Other nonhisp","Never married/single","United States","Associate's degree","Associate's degree 1","At work","Local govt employee",12,40,3500,"Primary family",480,7.29166650772095,"Colleges and universities, including junior colleges","Office and Admin Support"
5,"Middle Atlantic Division","In metro area, outside central / principal city","Spouse",48,"Female","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Wage/salary, private sector",52,40,47000,"Primary family",2080,22.5961532592773,"Pharmaceutical and medicine manufacturing","Office and Admin Support"
4,"South Atlantic Division","Central / Principal city status unknown","Child",32,"Female","Black nonhisp","Never married/single","United States","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,40,28000,"Related subfamily",2080,13.4615383148193,"Department stores and discount stores","Office and Admin Support"
4,"South Atlantic Division","Central / Principal city status unknown","Head/Householder",36,"Female","White nonhisp","Married, spouse present","United States","Advanced degree","Master's degree","At work","Local govt employee",52,40,63000,"Primary family",2080,30.2884616851807,"Elementary and secondary schools","Managers"
3,"South Atlantic Division","In metro area, outside central / principal city","Child",40,"Female","Hispanic","Divorced","Argentina","Associate's degree","Associate's degree 2","At work","Wage/salary, private sector",52,40,30000,"Primary family",2080,14.4230766296387,"Clothing stores","Office and Admin Support"
5,"Mountain Division","Central / Principal city status unknown","Head/Householder",30,"Female","Hispanic","Married, spouse present","United States","Grade 12","High school","At work","Wage/salary, private sector",52,40,75000,"Primary family",2080,36.0576934814453,"Clothing stores","Office and Admin Support"
4,"Pacific Division","In metro area, outside central / principal city","Head/Householder",48,"Female","Other nonhisp","Married, spouse present","United States","Bachelor's degree","Bachelor's degree","At work","Wage/salary, private sector",52,40,106500,"Primary family",2080,51.2019233703613,"Insurance carriers and related activities","Business Operators"
